iter	Passed	Remaining
883	20385	2675
884	20403	2651
885	20420	2627
886	20438	2603
887	20455	2579
888	20472	2556
889	20490	2532
890	20507	2508
891	20525	2485
892	20541	2461
893	20559	2437
894	20575	2413
895	20593	2390
896	20610	2366
897	20626	2342
898	20643	2319
899	20663	2295
900	20678	2272
901	20702	2249
902	20717	2225
903	20734	2201
904	20750	2178
905	20764	2154
906	20778	2130
907	20795	2107
908	20811	2083
909	20823	2059
910	20838	2035
911	20850	2011
912	20861	1987
913	20872	1963
914	20888	1940
915	20902	1916
916	20919	1893
917	20932	1869
918	20949	1846
919	20965	1823
920	20982	1799
921	20998	1776
922	21015	1753
923	21030	1729
924	21046	1706
925	21060	1683
926	21076	1659
927	21093	1636
928	21106	1613
929	21124	1589
930	21139	1566
931	21155	1543
932	21170	1520
933	21187	1497
934	21204	1474
935	21222	1451
936	21239	1428
937	21256	1404
938	21269	1381
939	21286	1358
940	21304	1335
941	21321	1312
942	21340	1289
943	21357	1266
944	21372	1243
945	21388	1220
946	21404	1197
947	21421	1175
948	21438	1152
949	21458	1129
950	21476	1106
951	21492	1083
952	21508	1060
953	21522	1037
954	21538	1014
955	21554	992
956	21570	969
957	21588	946
958	21607	923
959	21623	900
960	21639	878
961	21655	855
962	21671	832
963	21692	810
964	21706	787
965	21720	764
966	21738	741
967	21754	719
968	21767	696
969	21779	673
970	21791	650
971	21804	628
972	21817	605
973	21830	582
974	21843	560
975	21856	537
976	21870	514
977	21883	492
978	21906	469
979	21923	447
980	21942	424
981	21957	402
982	21970	379
983	21982	357
984	21996	334
985	22009	312
986	22022	290
987	22035	267
988	22047	245
989	22058	222
990	22068	200
991	22077	178
992	22085	155
993	22094	133
994	22103	111
995	22114	88
996	22123	66
997	22133	44
998	22142	22
999	22151	0
